,county,total_vehicle,ev,passenger_vehicle,truck,trailer,motorcycle,bus,other
0, ,10622643,87858,6763528,2237561,1359325,223644,38552,33
1,Appling,24381,12,9923,8020,5899,430,109,0
2,Atkinson,9936,3,3987,3381,2405,109,54,0
3,Bacon,14311,4,5590,4762,3680,200,79,0
4,Baker,4211,2,1828,1327,993,44,19,0
5,Baldwin,44247,67,25140,10555,7638,784,130,0
6,Banks,29826,25,12876,8835,7159,878,78,0
7,Barrow,107409,377,61984,25730,16454,2935,304,2
8,Bartow,135192,431,73669,34544,22856,3769,354,0
9,Ben Hill,17613,13,8998,4983,3287,275,70,0
10,Berrien,23053,21,9892,6962,5537,579,83,0
11,Bibb,134192,421,91086,27611,12990,1974,531,0
12,Bleckley,15815,15,7321,4392,3681,345,76,0
13,Brantley,23130,8,9361,7129,6066,489,85,0
14,Brooks,19678,13,9087,5909,4286,329,67,0
15,Bryan,51988,287,29912,12112,8278,1545,141,0
16,Bulloch,74447,124,39081,20538,12939,1576,313,0
17,Burke,28982,25,14859,8555,4832,581,155,0
18,Butts,34295,34,16465,9358,7373,1005,93,1
19,Calhoun,5852,6,2720,1784,1220,75,53,0
20,Camden,56598,181,34044,12384,8063,1941,166,0
21,Candler,13719,14,6262,4205,2906,292,54,0
22,Carroll,139351,327,77432,35957,21883,3713,366,0
23,Catoosa,68558,134,42048,16545,7828,1950,187,0
24,Charlton,11806,11,5396,3351,2801,205,53,0
25,Chatham,258642,1714,180804,51030,20477,5072,1259,0
26,Chattahoochee,5711,18,3509,1406,573,197,26,0
27,Chattooga,28710,30,13873,8588,5445,724,78,2
28,Cherokee,287942,2705,189956,55285,33829,8264,608,0
29,Clarke,90350,614,65239,16072,7204,1308,525,2
30,Clay,3879,2,1784,1078,955,43,19,0
31,Clayton,215441,1039,159567,38145,13637,3281,810,1
32,Clinch,8125,9,3297,2521,2172,93,42,0
33,Cobb,666553,10406,501129,105448,45214,12713,2049,0
34,Coffee,47080,30,21671,14208,10338,694,169,0
35,Colquitt,51491,45,25343,14673,10370,746,359,0
36,Columbia,160668,955,103852,33386,19322,3650,457,1
37,Cook,20335,19,9665,5810,4440,340,80,0
38,Coweta,160585,1049,97277,34463,23688,4660,497,0
39,Crawford,17267,8,7646,4834,4258,460,69,0
40,Crisp,21803,22,11113,6109,4170,308,103,0
41,Dade,17400,28,9163,5121,2576,481,59,0
42,Dawson,42359,211,22974,10407,7427,1452,99,0
43,Decatur,32652,27,16204,9140,6743,432,133,0
44,DeKalb,532270,9684,438928,62309,22196,6934,1901,2
45,Dodge,21896,29,10026,6579,4838,355,98,0
46,Dooly,11741,15,5634,3376,2463,213,55,0
47,Dougherty,75242,112,48820,15660,9433,1012,317,0
48,Douglas,130832,783,88514,25133,13498,3196,490,1
49,Early,15480,7,6046,3694,5512,194,32,2
50,Echols,5445,2,1865,1741,1666,77,96,0
51,Effingham,84716,171,43646,21399,16607,2805,259,0
52,Elbert,26725,27,12652,7932,5444,582,115,0
53,Emanuel,26975,16,12737,8337,5274,518,109,0
54,Evans,12154,9,5707,3787,2342,267,51,0
55,Fannin,38963,85,18612,11046,7560,1632,113,0
56,Fayette,134197,1839,87763,25919,16997,3126,392,0
57,Floyd,104686,234,59485,26085,15960,2550,605,1
58,Forsyth,257168,6870,177298,44644,28762,5814,650,0
59,Franklin,33625,36,15407,9953,7365,814,86,0
60,Fulton,801866,23296,667339,89789,29608,10923,4201,6
61,Gilmer,44331,90,22278,12343,7938,1667,105,0
62,Glascock,4360,1,1624,1463,1179,74,20,0
63,Glynn,91831,408,57450,19766,12493,1795,327,0
64,Gordon,73055,126,36680,19670,14586,1929,190,0
65,Grady,30534,14,14565,8552,6779,544,94,0
66,Greene,27552,195,15971,6322,4766,402,91,0
67,Gwinnett,828109,11626,630008,129604,52180,13228,3087,2
68,Habersham,58490,106,29982,15670,11026,1568,243,1
69,Hall,248159,1098,150085,57521,34151,5684,717,1
70,Hancock,10538,5,5660,2724,1903,173,78,0
71,Haralson,41086,47,19274,12173,8352,1189,98,0
72,Harris,49514,159,25172,12878,10023,1295,146,0
73,Hart,38260,42,18926,10356,7982,926,70,0
74,Heard,17497,8,7385,5369,4203,481,59,0
75,Henry,229755,1497,157134,40833,25618,5505,665,0
76,Houston,167572,566,107801,34137,21329,3804,501,0
77,Irwin,11737,7,4984,3932,2536,228,57,0
78,Jackson,105019,445,58031,25576,18211,2842,359,0
79,Jasper,24430,26,10743,6825,6072,712,78,0
80,Jeff Davis,18272,9,7591,5880,4480,245,76,0
81,Jefferson,20448,13,9986,5913,4180,270,99,0
82,Jenkins,9247,3,4225,2940,1910,120,52,0
83,Johnson,10352,2,4613,3209,2334,150,46,0
84,Jones,36842,60,18379,9827,7614,860,162,0
85,Lamar,25799,46,12467,6894,5675,717,45,1
86,Lanier,10195,5,4890,2981,2032,239,53,0
87,Laurens,58702,62,30111,16687,10642,1038,224,0
88,Lee,39552,94,20175,9728,8639,874,136,0
89,Liberty,60040,137,39918,11798,6269,1810,245,0
90,Lincoln,12841,15,5645,3592,3333,222,49,0
91,Long,20158,34,10615,5185,3641,618,99,0
92,Lowndes,111308,221,65104,26196,17073,2469,465,1
93,Lumpkin,41504,126,21194,11046,7402,1735,127,0
94,Macon,12649,15,6491,3538,2347,209,64,0
95,Madison,44426,61,20589,12607,10170,941,119,0
96,Marion,10042,13,4408,3016,2380,182,56,0
97,McDuffie,28085,27,14060,7633,5679,606,107,0
98,McIntosh,16294,32,8264,4452,3128,399,51,0
99,Meriwether,32121,38,15855,8487,6825,836,118,0
100,Miller,7593,4,3290,2394,1756,109,44,0
101,Mitchell,25221,14,11711,7109,5972,316,113,0
102,Monroe,43922,133,21412,11580,9665,1034,231,0
103,Montgomery,10477,5,4573,3244,2450,175,35,0
104,Morgan,33813,87,15064,9777,8104,774,94,0
105,Murray,46926,40,23241,13535,8577,1424,149,0
106,Muscogee,170722,619,124073,32884,10248,2784,733,0
107,Newton,128661,425,82234,26503,16573,3011,340,0
108,Oconee,51835,418,30106,12039,8715,826,149,0
109,Oglethorpe,23557,32,10765,6634,5604,475,79,0
110,Paulding,170810,888,106850,35803,22800,4859,498,0
111,Peach,32830,49,17362,8316,6361,649,141,1
112,Pickens,48487,136,25116,12816,8537,1871,147,0
113,Pierce,25770,26,10619,8002,6630,454,65,0
114,Pike,32435,46,13780,9217,8336,975,127,0
115,Polk,50583,48,25675,14228,8992,1550,138,0
116,Pulaski,50583,48,25675,14228,8992,1550,41,0
117,Putnam,33727,60,16290,8996,7705,636,100,0
118,Quitman,2885,0,1245,829,745,56,10,0
119,Rabun,26208,58,12402,7897,4993,808,108,0
120,Randolph,7871,4,3647,2293,1817,73,41,0
121,Richmond,173025,436,123483,33031,12903,2977,631,0
122,Rockdale,84947,445,55826,16940,10024,1804,353,0
123,Schley,6040,2,2567,1858,1456,129,30,0
124,Screven,18778,11,8889,5609,3865,339,76,0
125,Seminole,11771,5,5015,3424,3121,171,40,0
126,Spalding,76107,186,45275,17061,11750,1787,232,2
127,Stephens,33086,35,17266,8831,5905,950,134,0
128,Stewart,4592,4,2487,1208,805,66,26,0
129,Sumter,31606,32,16874,8175,5986,435,136,0
130,Talbot,8699,4,4283,2364,1874,151,27,0
131,Taliaferro,2456,2,1188,698,509,46,15,0
132,Tattnall,24598,27,10841,7884,5258,429,186,0
133,Taylor,10196,11,4637,3005,2319,188,47,0
134,Telfair,12593,5,5447,3757,3149,174,66,0
135,Terrell,12000,11,5575,3081,3121,161,62,0
136,Thomas,50304,74,27894,12757,8588,862,203,0
137,Tift,46095,58,23811,12930,8407,706,241,0
138,Toombs,31447,35,14978,9411,6336,549,173,0
139,Towns,20221,43,9688,5396,4328,760,49,0
140,Treutlen,8004,5,3596,2532,1679,157,40,0
141,Troup,77609,179,45352,18686,11776,1558,237,0
142,Turner,10090,2,4818,2971,2098,159,44,0
143,Twiggs,11018,7,5342,3105,2316,220,35,0
144,Union,41876,68,19500,11289,9073,1924,89,1
145,Upson,34077,16,17575,8758,6781,826,137,0
146,Walker,71236,100,39374,19514,9827,2300,221,0
147,Walton,129082,394,70172,31882,23573,3140,314,1
148,Ware,36405,32,18281,9698,7566,684,176,0
149,Warren,7269,2,3661,2080,1369,110,49,0
150,Washington,26302,16,11786,7776,6319,321,100,0
151,Wayne,35016,31,16160,10162,7839,756,99,0
152,Webster,3542,0,1454,1103,923,47,15,0
153,Wheeler,6732,4,2500,2157,1960,70,45,0
154,White,42296,72,20230,11662,8821,1438,145,0
155,Whitfield,114117,196,63505,28920,18820,2512,360,0
156,Wilcox,9465,1,3860,2996,2346,124,139,0
157,Wilkes,14050,7,6263,4241,3257,233,56,0
158,Wilkinson,13941,0,6086,4403,3161,231,59,1
159,Worth,26295,17,11454,7634,6592,542,73,0
