,county,total_vehicle,ev,passenger_vehicle,truck,trailer,motorcycle,bus,other
120,Randolph,7991,1,3698,2278,1908,72,35,0
121,Richmond,169805,127,121497,31915,12779,2974,640,0
122,Rockdale,84968,150,56164,16672,9911,1873,348,0
123,Schley,5949,1,2566,1810,1439,105,29,0
124,Screven,18403,3,8889,5470,3717,255,72,0
125,Seminole,11656,1,5071,3458,2918,167,42,0
126,Spalding,77060,59,46502,17139,11466,1711,240,2
127,Stephens,33440,13,17550,8843,5992,927,128,0
128,Stewart,4595,2,2475,1215,813,65,27,0
129,Sumter,31043,5,16884,7856,5745,425,133,0
130,Talbot,9402,1,4659,2535,2029,155,24,0
131,Taliaferro,2479,1,1192,711,522,42,12,0
132,Tattnall,24019,9,10678,7706,5031,437,167,0
133,Taylor,10217,5,4723,3032,2249,170,43,0
134,Telfair,12600,1,5447,3781,3145,163,64,0
135,Terrell,12108,2,5640,3095,3136,177,59,1
136,Thomas,49586,27,27926,12394,8271,818,177,0
137,Tift,45204,20,23644,12518,8131,690,221,0
138,Toombs,30605,12,14777,9046,6126,490,166,0
139,Towns,19830,21,9668,5248,4240,628,46,0
140,Treutlen,7880,2,3587,2526,1586,144,37,0
141,Troup,77097,53,45228,18436,11701,1504,228,0
142,Turner,10057,0,4873,2956,2038,149,41,0
143,Twiggs,11057,1,5406,3153,2237,225,36,0
144,Union,40400,23,19065,10904,8649,1695,86,1
145,Upson,34044,9,17930,8618,6573,796,127,0
146,Walker,70558,33,39200,19306,9686,2152,214,0
147,Walton,126306,148,69104,30887,22991,3018,305,1
148,Ware,36022,9,18212,9661,7430,538,181,0
149,Warren,7197,0,3693,2094,1277,90,43,0
150,Washington,25774,2,11755,7505,6109,301,104,0
151,Wayne,33540,11,15680,9723,7401,641,95,0
152,Webster,3557,0,1514,1088,885,54,16,0
153,Wheeler,6845,1,2508,2184,2041,74,38,0
154,White,41934,31,20242,11598,8620,1336,138,0
155,Whitfield,111353,75,62077,27934,18704,2283,355,0
156,Wilcox,9123,1,3835,2920,2146,126,96,0
157,Wilkes,13762,2,6328,4158,3021,197,58,0
158,Wilkinson,13755,0,5979,4344,3182,195,54,1
159,Worth,26580,8,11662,7806,6529,501,82,0
