county,total_vehicle,ev,light_duty_evs,medium_duty_evs,heavy_duty_evs
Barrow,111075,566,480,86,1
Bartow,138639,645,547,97,1
Butts,34516,70,59,11,0
Carroll,142016,515,436,78,1
Cherokee,293630,3976,3369,601,6
Clayton,214815,1690,1432,255,3
Cobb,676232,14394,12198,2174,22
Coweta,163191,1544,1308,233,2
Dawson,43871,325,275,49,0
DeKalb,532706,12751,10806,1926,19
Douglas,132895,1264,1071,191,2
Fayette,132868,2461,2086,372,4
Forsyth,263331,9673,8197,1461,14
Fulton,811434,28461,24119,4299,43
Gwinnett,846171,17497,14828,2643,26
Haralson,41813,96,81,15,0
Heard,17871,14,12,2,0
Henry,232754,2294,1944,347,3
Jasper,25185,49,42,7,0
Lamar,26405,67,57,10,0
Meriwether,32662,48,41,7,0
Morgan,34383,117,99,18,0
Newton,130750,657,557,99,1
Paulding,174579,1433,1214,216,2
Pickens,49696,210,178,32,0
Pike,32959,71,60,11,0
Rockdale,85420,648,549,98,1
Spalding,76920,271,230,41,0
Walton,132225,594,503,90,1
