,county,total_vehicle,ev,passenger_vehicle,truck,trailer,motorcycle,bus,other
0, ,10089824,22792,6487483,2090035,1270803,204947,36509,47
1,Appling,23132,0,9572,7733,5456,282,89,0
2,Atkinson,9444,0,3947,3204,2140,107,46,0
3,Bacon,13850,1,5479,4568,3555,183,65,0
4,Baker,4173,0,1849,1306,957,41,20,0
5,Baldwin,43011,23,24675,10205,7279,731,121,0
6,Banks,28564,9,12458,8496,6753,782,75,0
7,Barrow,100345,87,58358,23860,15125,2716,284,2
8,Bartow,129141,105,70818,32767,21642,3565,349,0
9,Ben Hill,17034,1,8834,4771,3104,264,61,0
10,Berrien,22014,8,9663,6704,5097,466,84,0
11,Bibb,131561,104,90054,26288,12795,1897,527,0
12,Bleckley,15426,5,7171,4441,3402,343,69,0
13,Brantley,21777,2,8894,6756,5661,387,78,1
14,Brooks,19208,1,8979,5765,4123,274,67,0
15,Bryan,46871,34,27172,10713,7481,1363,142,0
16,Bulloch,69930,27,37270,19342,11686,1339,293,0
17,Burke,28027,6,14588,8287,4463,542,147,0
18,Butts,33291,9,16262,8947,7088,911,82,1
19,Calhoun,5927,0,2711,1718,1380,75,43,0
20,Camden,52920,38,32017,11561,7457,1732,153,0
21,Candler,12801,2,6050,3941,2519,242,49,0
22,Carroll,132831,70,74865,34012,20147,3442,364,1
23,Catoosa,65114,29,40219,15795,7197,1711,192,0
24,Charlton,11089,1,5124,3188,2574,158,45,0
25,Chatham,246435,310,174561,45945,20124,4648,1155,2
26,Chattahoochee,5750,2,3580,1386,557,209,18,0
27,Chattooga,27792,5,13801,8246,5021,651,73,0
28,Cherokee,270855,675,180848,50609,31457,7339,602,0
29,Clarke,85775,240,62406,15007,6614,1213,533,2
30,Clay,3966,0,1701,1026,1190,33,16,0
31,Clayton,210816,155,160074,33900,13094,3063,684,1
32,Clinch,7815,0,3233,2440,2023,81,38,0
33,Cobb,638919,3044,486910,94802,43194,12108,1904,1
34,Coffee,44822,8,21061,13624,9397,603,137,0
35,Colquitt,49840,8,24301,14740,9768,697,333,1
36,Columbia,153158,205,99750,31286,18157,3493,471,1
37,Cook,19460,5,9303,5639,4151,279,88,0
38,Coweta,151848,253,93121,32141,21840,4239,507,0
39,Crawford,16927,4,7546,4842,4038,439,62,0
40,Crisp,21197,3,11121,5861,3822,303,90,0
41,Dade,17046,10,9195,5045,2304,449,53,0
42,Dawson,40010,64,21867,9754,7011,1290,88,0
43,Decatur,31455,7,15730,8719,6489,400,117,0
44,DeKalb,508842,3340,421959,56681,21600,6693,1907,2
45,Dodge,20854,10,9756,6298,4366,342,92,0
46,Dooly,11616,3,5730,3322,2305,198,61,0
47,Dougherty,74896,24,49190,15235,9169,982,320,0
48,Douglas,126184,135,86018,23581,12992,3076,516,1
49,Early,15432,1,6160,3630,5439,159,41,3
50,Echols,4969,0,1750,1657,1411,68,83,0
51,Effingham,78590,21,41923,19570,14599,2300,198,0
52,Elbert,26026,11,12579,7655,5165,531,96,0
53,Emanuel,26196,7,12619,8039,5001,434,103,0
54,Evans,11487,0,5468,3612,2146,204,57,0
55,Fannin,37393,29,18450,10440,7064,1332,107,0
56,Fayette,125670,509,84400,22788,15170,2941,371,0
57,Floyd,103258,60,58718,25951,15578,2464,546,1
58,Forsyth,233802,1475,163767,39623,24708,5084,620,0
59,Franklin,32478,13,14942,9709,6958,791,78,0
60,Fulton,750309,6442,625403,81529,28628,10450,4294,5
61,Gilmer,42180,34,21631,11657,7361,1419,112,0
62,Glascock,4225,0,1608,1415,1134,52,16,0
63,Glynn,88206,132,55974,18570,11591,1748,323,0
64,Gordon,68945,35,35328,18436,13144,1868,168,1
65,Grady,29647,3,14058,8397,6607,494,91,0
66,Greene,25689,54,15076,5793,4380,364,76,0
67,Gwinnett,754275,2536,579621,112002,47662,12071,2917,2
68,Habersham,55904,34,29097,14838,10311,1428,230,0
69,Hall,227060,302,138192,50869,32261,5070,666,2
70,Hancock,10274,0,5688,2584,1770,162,70,0
71,Haralson,39897,4,19120,11862,7702,1122,90,1
72,Harris,47820,42,24975,12300,9178,1219,147,1
73,Hart,36561,17,18460,9789,7410,833,68,1
74,Heard,16841,3,7163,5267,3934,424,53,0
75,Henry,218481,271,150256,38243,24144,5229,609,0
76,Houston,159986,109,103891,32247,19714,3706,428,0
77,Irwin,11148,2,4868,3729,2338,166,47,0
78,Jackson,97169,97,54180,23621,16556,2498,314,0
79,Jasper,23128,2,10352,6548,5530,624,74,0
80,Jeff Davis,17039,1,7110,5595,4077,191,66,0
81,Jefferson,19818,4,9964,5692,3833,230,99,0
82,Jenkins,8987,0,4190,2873,1779,102,43,0
83,Johnson,10104,0,4570,3278,2098,121,37,0
84,Jones,35566,10,17926,9507,7217,781,135,0
85,Lamar,24722,13,11993,6681,5341,673,34,0
86,Lanier,9731,0,4694,2868,1916,211,42,0
87,Laurens,56483,7,29488,15935,9971,868,221,0
88,Lee,38353,25,19949,9288,8235,753,128,0
89,Liberty,59015,18,39766,11360,6059,1606,224,0
90,Lincoln,12464,3,5635,3442,3134,207,46,0
91,Long,17392,0,9185,4584,3012,535,76,0
92,Lowndes,106016,44,62619,24473,16073,2409,441,1
93,Lumpkin,39526,54,20647,10532,6726,1523,97,1
94,Macon,12372,3,6417,3495,2217,173,70,0
95,Madison,42072,12,20022,11885,9204,856,105,0
96,Marion,9721,0,4310,2978,2197,179,57,0
97,McDuffie,27497,5,14241,7342,5299,518,97,0
98,McIntosh,15869,5,8163,4344,2963,354,45,0
99,Meriwether,30999,8,15620,8189,6376,718,96,0
100,Miller,7465,0,3273,2315,1757,86,34,0
101,Mitchell,24846,3,11728,7024,5679,309,106,0
102,Monroe,41643,29,20571,10947,9033,883,208,1
103,Montgomery,9987,1,4397,3173,2221,161,35,0
104,Morgan,31568,22,14670,8868,7266,680,84,0
105,Murray,45377,9,22786,12993,8248,1221,129,0
106,Muscogee,166150,163,121596,31246,9873,2801,634,0
107,Newton,123655,98,79692,25345,15505,2821,292,0
108,Oconee,49118,114,28826,11243,8115,782,152,0
109,Oglethorpe,22080,7,10274,6261,5053,422,70,0
110,Paulding,160677,165,101530,33319,20975,4412,441,0
111,Peach,31668,10,16982,8031,5846,659,149,1
112,Pickens,46153,60,24530,12067,7828,1589,139,0
113,Pierce,24395,3,10184,7621,6192,331,67,0
114,Pike,30927,11,13434,8806,7732,851,104,0
115,Polk,49082,19,25462,13837,8345,1319,119,0
116,Pulaski,10802,3,5237,3031,2281,212,41,0
117,Putnam,32722,20,15984,8561,7480,602,94,1
118,Quitman,2859,0,1226,851,730,43,9,0
119,Rabun,25440,23,12418,7425,4808,696,93,0
120,Randolph,7914,0,3692,2274,1840,74,34,0
121,Richmond,165187,78,118187,30935,12478,2931,656,0
122,Rockdale,82235,69,54657,15959,9517,1753,349,0
123,Schley,5840,1,2531,1794,1394,95,26,0
124,Screven,17938,1,8656,5338,3621,256,67,0
125,Seminole,11380,0,4968,3385,2812,172,43,0
126,Spalding,74627,36,45129,16614,10958,1695,229,2
127,Stephens,32793,8,17344,8683,5753,894,119,0
128,Stewart,4462,1,2418,1182,774,63,25,0
129,Sumter,30068,5,16394,7618,5529,398,129,0
130,Talbot,9256,0,4622,2474,1976,162,22,0
131,Taliaferro,2413,0,1178,700,484,39,12,0
132,Tattnall,23408,6,10494,7541,4812,394,167,0
133,Taylor,10022,2,4665,2963,2208,149,37,0
134,Telfair,12307,1,5318,3770,3014,147,58,0
135,Terrell,11706,1,5438,3001,3023,186,58,0
136,Thomas,48655,18,27462,12206,8023,787,177,0
137,Tift,44340,11,23228,12320,7906,678,208,0
138,Toombs,30083,9,14516,8968,5945,496,158,0
139,Towns,19162,12,9447,5051,4028,587,45,4
140,Treutlen,7733,1,3555,2500,1490,154,34,0
141,Troup,75081,30,44160,17925,11293,1481,222,0
142,Turner,9649,0,4691,2900,1866,154,38,0
143,Twiggs,10905,1,5392,3109,2145,222,37,0
144,Union,39170,13,18725,10434,8272,1656,82,1
145,Upson,32943,2,17384,8471,6251,726,111,0
146,Walker,69094,22,38566,18927,9337,2046,218,0
147,Walton,122306,82,67314,29837,21988,2860,306,1
148,Ware,35544,4,17965,9686,7213,501,179,0
149,Warren,6989,0,3631,2028,1210,77,43,0
150,Washington,24985,1,11457,7292,5834,308,94,0
151,Wayne,32715,5,15490,9463,7058,610,94,0
152,Webster,3469,0,1469,1083,852,49,16,0
153,Wheeler,6621,1,2394,2126,1994,73,34,0
154,White,40965,24,19935,11320,8296,1284,130,0
155,Whitfield,108766,52,60688,27170,18301,2254,353,0
156,Wilcox,8862,0,3784,2849,2015,123,91,0
157,Wilkes,13402,1,6200,3995,2949,199,59,0
158,Wilkinson,13622,0,5984,4303,3081,198,55,1
159,Worth,26042,5,11538,7669,6211,492,132,0
