,county,total_vehicle,ev,passenger_vehicle,truck,trailer,motorcycle,bus,other
0, ,10694716,109838,6794280,2259384,1375085,226539,39393,35
1,Appling,24644,17,9906,8127,6034,469,108,0
2,Atkinson,9944,4,3920,3365,2483,120,56,0
3,Bacon,14383,9,5468,4811,3814,212,78,0
4,Baker,4180,2,1787,1340,987,45,21,0
5,Baldwin,44300,94,25032,10631,7684,815,138,0
6,Banks,30180,42,13086,8855,7281,874,84,0
7,Barrow,110476,508,64053,26315,16792,3004,310,2
8,Bartow,137873,597,75378,35154,23111,3881,349,0
9,Ben Hill,17543,24,8915,4991,3281,286,70,0
10,Berrien,23194,26,9864,7000,5664,576,90,0
11,Bibb,132774,549,89496,27787,12976,1979,536,0
12,Bleckley,15889,19,7301,4436,3714,362,76,0
13,Brantley,23410,13,9334,7245,6234,514,83,0
14,Brooks,19601,17,8909,5941,4321,346,84,0
15,Bryan,52807,409,30399,12407,8298,1552,151,0
16,Bulloch,75724,195,39624,20981,13159,1637,323,0
17,Burke,29078,30,14763,8609,4932,607,167,0
18,Butts,34487,59,16566,9340,7426,1063,91,1
19,Calhoun,5818,8,2635,1797,1245,86,55,0
20,Camden,57184,246,34333,12561,8162,1966,162,0
21,Candler,13935,18,6324,4273,2983,300,55,0
22,Carroll,141018,464,78211,36523,22101,3802,381,0
23,Catoosa,68485,204,41919,16581,7856,1928,200,1
24,Charlton,11707,13,5286,3312,2841,213,55,0
25,Chatham,258227,2207,179951,51040,20756,5179,1301,0
26,Chattahoochee,5692,21,3451,1413,593,209,26,0
27,Chattooga,28786,41,13781,8590,5596,739,80,0
28,Cherokee,292183,3536,193150,56150,33995,8274,613,1
29,Clarke,90163,750,64891,16179,7264,1313,514,2
30,Clay,3766,2,1704,1057,936,49,20,0
31,Clayton,213411,1499,157583,38307,13497,3157,866,1
32,Clinch,8018,9,3202,2521,2157,97,41,0
33,Cobb,669356,13027,503430,106192,45110,12482,2142,0
34,Coffee,46988,49,21583,14142,10404,690,169,0
35,Colquitt,53649,63,25561,16007,10965,764,352,0
36,Columbia,161396,1215,103918,33827,19516,3657,477,1
37,Cook,20375,27,9591,5879,4477,341,87,0
38,Coweta,162079,1373,98107,34864,23897,4720,491,0
39,Crawford,17395,12,7641,4879,4299,503,73,0
40,Crisp,21659,28,10936,6136,4185,296,106,0
41,Dade,17522,44,9190,5229,2553,490,60,0
42,Dawson,43766,299,23889,10662,7620,1488,107,0
43,Decatur,32027,33,15796,9008,6647,442,134,0
44,DeKalb,528524,11646,435582,61911,22317,6821,1891,2
45,Dodge,22038,34,9985,6631,4971,355,96,0
46,Dooly,11788,14,5644,3385,2482,217,60,0
47,Dougherty,74315,149,48037,15523,9436,1004,315,0
48,Douglas,132271,1111,89331,25347,13879,3214,499,1
49,Early,15561,9,6001,3659,5679,188,32,2
50,Echols,5454,2,1843,1742,1697,71,101,0
51,Effingham,85572,235,44024,21684,16803,2805,256,0
52,Elbert,26808,26,12632,7949,5546,565,116,0
53,Emanuel,27021,23,12669,8389,5328,525,110,0
54,Evans,12316,15,5770,3845,2380,271,50,0
55,Fannin,39319,103,18579,11189,7671,1771,109,0
56,Fayette,132067,2235,87564,24656,16374,3066,407,0
57,Floyd,104929,301,59266,26229,16209,2600,624,1
58,Forsyth,260457,8653,179431,45245,29319,5815,647,0
59,Franklin,34050,57,15496,10183,7486,793,91,1
60,Fulton,807257,26469,670942,91395,29761,10813,4341,5
61,Gilmer,45000,107,22462,12577,8054,1802,105,0
62,Glascock,4489,1,1660,1496,1229,83,21,0
63,Glynn,92901,533,57911,20140,12704,1810,336,0
64,Gordon,74493,166,37091,19989,15202,2024,187,0
65,Grady,30785,22,14622,8668,6843,562,90,0
66,Greene,28124,238,16258,6466,4878,428,94,0
67,Gwinnett,833002,15605,634104,130550,52048,13107,3191,2
68,Habersham,59789,132,30664,16052,11223,1611,239,0
69,Hall,253136,1460,153808,58346,34527,5735,718,2
70,Hancock,10646,8,5741,2710,1930,186,79,0
71,Haralson,41620,74,19472,12294,8512,1242,99,1
72,Harris,50271,201,25452,13127,10225,1321,146,0
73,Hart,38850,70,19078,10604,8113,984,71,0
74,Heard,17696,11,7375,5456,4306,500,59,0
75,Henry,230733,2001,158622,40631,25375,5405,700,0
76,Houston,168932,786,108857,34305,21469,3788,513,0
77,Irwin,11693,10,4938,3900,2544,257,54,0
78,Jackson,110029,627,61485,26581,18604,2991,368,0
79,Jasper,25098,37,10914,7085,6285,734,80,0
80,Jeff Davis,18174,12,7469,5820,4556,249,80,0
81,Jefferson,20344,17,9825,5898,4227,292,102,0
82,Jenkins,9262,5,4181,2951,1953,123,54,0
83,Johnson,10399,5,4520,3292,2376,164,47,0
84,Jones,36917,92,18373,9865,7683,835,161,0
85,Lamar,26470,56,12758,7105,5792,768,46,1
86,Lanier,10210,9,4860,3014,2025,251,60,0
87,Laurens,59251,77,30188,16913,10867,1053,230,0
88,Lee,39896,118,20380,9782,8661,939,134,0
89,Liberty,60528,197,39995,11978,6398,1914,243,0
90,Lincoln,12973,17,5610,3696,3376,242,49,0
91,Long,21120,49,11154,5361,3812,696,97,0
92,Lowndes,111941,296,64937,26703,17322,2499,478,2
93,Lumpkin,42008,152,21228,11223,7651,1792,114,0
94,Macon,12668,15,6439,3571,2382,210,66,0
95,Madison,45117,76,20761,12758,10527,946,125,0
96,Marion,10169,13,4440,3069,2414,185,61,0
97,McDuffie,28121,38,13948,7641,5761,661,110,0
98,McIntosh,16687,44,8445,4563,3177,450,52,0
99,Meriwether,32510,44,15803,8712,7006,874,115,0
100,Miller,7544,4,3229,2384,1774,113,44,0
101,Mitchell,25267,13,11569,7161,6102,318,117,0
102,Monroe,45413,163,22214,11950,9921,1084,244,0
103,Montgomery,10471,4,4575,3227,2448,186,35,0
104,Morgan,34451,106,15183,10040,8333,795,100,0
105,Murray,47507,59,23426,13641,8811,1482,147,0
106,Muscogee,171018,808,124124,33116,10226,2822,730,0
107,Newton,129860,570,83120,26766,16629,2994,351,0
108,Oconee,52450,518,30415,12229,8816,841,149,0
109,Oglethorpe,23640,48,10707,6686,5689,479,79,0
110,Paulding,173132,1255,108905,36112,22747,4900,468,0
111,Peach,32873,70,17300,8364,6359,708,141,1
112,Pickens,49448,203,25499,13136,8694,1971,148,0
113,Pierce,25775,35,10546,7984,6686,486,73,0
114,Pike,33050,66,13929,9482,8494,1019,126,0
115,Polk,51188,76,25808,14552,9126,1554,148,0
116,Pulaski,11138,16,5268,3130,2484,215,41,0
117,Putnam,34392,85,16501,9199,7931,662,99,0
118,Quitman,2937,1,1266,830,773,57,11,0
