,county,total_vehicle,ev,passenger_vehicle,truck,trailer,motorcycle,bus,other
119,Rabun,26588,67,12579,7986,5050,860,113,0
120,Randolph,7752,7,3602,2285,1746,78,41,0
121,Richmond,170333,514,121658,32234,12852,2950,639,0
122,Rockdale,85001,585,55972,16862,10020,1775,372,0
123,Schley,6080,2,2539,1870,1503,136,32,0
124,Screven,18931,14,8850,5651,3985,370,75,0
125,Seminole,11827,8,4980,3435,3187,184,41,0
126,Spalding,76665,248,45709,17077,11815,1821,241,2
127,Stephens,33260,48,17312,8892,5970,951,135,0
128,Stewart,4553,6,2446,1210,783,88,26,0
129,Sumter,31312,35,16582,8125,6058,413,134,0
130,Talbot,9074,7,4415,2475,1983,174,27,0
131,Taliaferro,2526,6,1193,730,535,52,16,0
132,Tattnall,24923,35,10917,8073,5315,430,188,0
133,Taylor,10313,15,4608,3076,2363,217,49,0
134,Telfair,12550,5,5384,3772,3165,163,66,0
135,Terrell,11974,11,5466,3066,3202,177,63,0
136,Thomas,50070,99,27679,12682,8648,853,208,0
137,Tift,46134,80,23725,12968,8414,768,259,0
138,Toombs,31568,43,14908,9431,6491,562,176,0
139,Towns,20401,59,9739,5472,4360,774,56,0
140,Treutlen,8056,12,3583,2520,1747,165,41,0
141,Troup,77816,232,45186,18813,11973,1593,251,0
142,Turner,9888,4,4738,2895,2056,151,48,0
143,Twiggs,11025,8,5276,3118,2348,248,35,0
144,Union,42526,99,19657,11494,9282,2004,88,1
145,Upson,34122,26,17480,8740,6899,861,142,0
146,Walker,71727,129,39522,19649,9961,2366,229,0
147,Walton,131556,522,71429,32537,24068,3201,320,1
148,Ware,36036,36,17913,9640,7633,673,177,0
149,Warren,7273,3,3645,2090,1382,108,48,0
150,Washington,26390,18,11667,7829,6439,354,101,0
151,Wayne,35411,46,16299,10344,7891,776,101,0
152,Webster,3542,1,1414,1095,965,51,17,0
153,Wheeler,6783,6,2501,2149,2028,65,40,0
154,White,43160,93,20423,11939,9139,1515,144,0
155,Whitfield,115273,259,63814,29380,19107,2593,379,0
156,Wilcox,9357,3,3793,2994,2332,126,112,0
157,Wilkes,14093,12,6219,4326,3240,240,68,0
158,Wilkinson,13941,1,5955,4403,3256,260,66,1
159,Worth,26461,29,11431,7750,6630,573,77,0
