county,total_vehicle,ev,light_duty_evs,medium_duty_evs,heavy_duty_evs
Barrow,107409,377,325,51,1
Bartow,135192,431,371,59,1
Butts,34295,34,29,5,0
Carroll,139351,327,282,44,1
Cherokee,287942,2705,2330,368,5
Clayton,215441,1039,895,141,2
Cobb,666553,10406,8962,1415,18
Coweta,160585,1049,903,143,2
Dawson,42359,211,182,29,0
DeKalb,532270,9684,8340,1317,17
Douglas,130832,783,674,106,1
Fayette,134197,1839,1584,250,3
Forsyth,257168,6870,5917,934,12
Fulton,801866,23296,20063,3168,41
Gwinnett,828109,11626,10013,1581,21
Haralson,41086,47,40,6,0
Heard,17497,8,7,1,0
Henry,229755,1497,1289,204,3
Jasper,24430,26,22,4,0
Lamar,25799,46,40,6,0
Meriwether,32121,38,33,5,0
Morgan,33813,87,75,12,0
Newton,128661,425,366,58,1
Paulding,170810,888,765,121,2
Pickens,48487,136,117,18,0
Pike,32435,46,40,6,0
Rockdale,84947,445,383,61,1
Spalding,76107,186,160,25,0
Walton,129082,394,339,54,1
