county,total_vehicle,ev,light_duty_evs,medium_duty_evs,heavy_duty_evs
Barrow,108316,343,315,28,0
Bartow,135727,392,360,31,0
Butts,34450,33,30,3,0
Carroll,139754,292,268,23,0
Cherokee,284672,2438,2242,195,1
Clayton,212857,869,799,70,0
Cobb,661078,9485,8721,761,3
Coweta,160056,965,887,77,0
Dawson,42953,206,189,17,0
DeKalb,524832,8843,8131,709,3
Douglas,131011,687,632,55,0
Fayette,130566,1674,1539,134,1
Forsyth,251645,6255,5751,502,2
Fulton,791310,21121,19420,1694,7
Gwinnett,814088,10419,9580,835,4
Haralson,41368,37,34,3,0
Heard,17640,10,9,1,0
Henry,228303,1322,1216,106,0
Jasper,24861,26,24,2,0
Lamar,26262,38,35,3,0
Meriwether,32396,26,24,2,0
Morgan,33905,83,76,7,0
Newton,129189,367,337,29,0
Paulding,170342,778,715,62,0
Pickens,48996,134,123,11,0
Pike,32610,43,40,3,0
Rockdale,84811,376,346,30,0
Spalding,76668,157,144,13,0
Walton,130128,360,331,29,0
