,county,total_vehicle,ev,passenger_vehicle,truck,trailer,motorcycle,bus,other
0, ,10559569,79510,6712048,2228398,1361645,218787,38652,39
1,Appling,24084,8,9801,8001,5837,349,96,0
2,Atkinson,9914,3,3964,3375,2419,108,48,0
3,Bacon,14173,4,5469,4704,3721,197,82,0
4,Baker,4196,1,1823,1325,984,45,19,0
5,Baldwin,44273,64,25042,10656,7685,759,131,0
6,Banks,29828,24,12959,8822,7118,847,82,0
7,Barrow,108316,343,62934,25658,16504,2908,310,2
8,Bartow,135727,392,74161,34589,22928,3685,364,0
9,Ben Hill,17444,9,8840,4961,3310,263,70,0
10,Berrien,22785,19,9692,6969,5499,538,87,0
11,Bibb,133344,374,90358,27469,13060,1918,539,0
12,Bleckley,15859,13,7332,4431,3688,338,70,0
13,Brantley,22910,7,9194,7059,6097,473,87,0
14,Brooks,19513,11,8947,5881,4326,291,68,0
15,Bryan,51443,258,29656,11909,8243,1494,141,0
16,Bulloch,74212,103,38758,20536,13059,1545,314,0
17,Burke,29052,25,14855,8587,4904,554,152,0
18,Butts,34450,33,16465,9363,7504,1023,94,1
19,Calhoun,5797,6,2695,1778,1201,71,52,0
20,Camden,56194,156,33787,12309,8011,1917,170,0
21,Candler,13677,16,6238,4200,2914,273,52,0
22,Carroll,139754,292,77821,36039,21831,3689,374,0
23,Catoosa,67738,125,41391,16487,7779,1890,190,1
24,Charlton,11575,6,5255,3316,2760,192,52,0
25,Chatham,255918,1549,178432,50539,20760,4909,1277,1
26,Chattahoochee,5617,13,3433,1398,573,191,22,0
27,Chattooga,28452,29,13721,8495,5458,695,81,2
28,Cherokee,284672,2438,187740,54772,33530,8012,618,0
29,Clarke,89016,571,64084,15867,7209,1316,538,2
30,Clay,4131,2,1718,1076,1277,41,19,0
31,Clayton,212857,869,157603,37515,13771,3171,796,1
32,Clinch,8026,6,3251,2482,2162,89,42,0
33,Cobb,661078,9485,497512,104033,45095,12403,2035,0
34,Coffee,46484,25,21373,14081,10249,617,164,0
35,Colquitt,52796,47,25088,15927,10724,704,353,0
36,Columbia,159918,860,103409,33217,19259,3574,458,1
37,Cook,20198,15,9571,5799,4430,311,87,0
38,Coweta,160056,965,97011,34379,23593,4561,512,0
39,Crawford,17235,8,7644,4813,4276,440,62,0
40,Crisp,21763,19,10974,6182,4201,296,110,0
41,Dade,17374,24,9149,5148,2550,473,54,0
42,Dawson,42953,206,23496,10482,7441,1426,108,0
43,Decatur,32209,26,15798,9024,6841,415,131,0
44,DeKalb,524832,8843,431936,61238,22788,6934,1934,2
45,Dodge,21793,25,9909,6546,4882,354,102,0
46,Dooly,11782,12,5642,3389,2473,224,54,0
47,Dougherty,74669,101,48074,15694,9578,1008,315,0
48,Douglas,131011,687,88362,25245,13730,3170,503,1
49,Early,15582,7,6031,3688,5647,181,33,2
50,Echols,5332,2,1812,1719,1634,64,103,0
51,Effingham,83870,152,43398,21168,16392,2656,256,0
52,Elbert,26819,21,12716,7932,5493,563,115,0
53,Emanuel,26929,18,12698,8370,5257,499,105,0
54,Evans,12124,4,5625,3823,2377,244,55,0
55,Fannin,38802,75,18533,11029,7597,1537,106,0
56,Fayette,130566,1674,86782,24173,16211,2996,404,0
57,Floyd,104878,212,59338,26170,16216,2546,607,1
58,Forsyth,251645,6255,173694,43635,28022,5650,644,0
59,Franklin,33949,36,15558,10050,7444,812,85,0
60,Fulton,791310,21121,657061,89278,30022,10660,4281,8
61,Gilmer,44424,84,22363,12318,7980,1659,104,0
62,Glascock,4372,1,1649,1448,1192,62,21,0
63,Glynn,91331,377,57148,19697,12417,1747,322,0
64,Gordon,73345,123,36871,19809,14541,1940,184,0
65,Grady,30648,14,14579,8576,6907,495,91,0
66,Greene,27822,185,16098,6392,4858,385,89,0
67,Gwinnett,814088,10419,619655,126944,51521,12844,3122,2
68,Habersham,58982,97,30303,15791,11128,1519,240,1
69,Hall,246042,1009,148623,56865,34247,5580,725,2
70,Hancock,10634,4,5701,2741,1936,180,76,0
71,Haralson,41368,37,19416,12245,8404,1203,99,1
72,Harris,49559,151,25156,12886,10081,1291,145,0
73,Hart,38604,44,19136,10405,8040,949,74,0
74,Heard,17640,10,7443,5410,4262,471,54,0
75,Henry,228303,1322,156602,40377,25229,5430,665,0
76,Houston,166890,528,107480,34007,21194,3712,497,0
77,Irwin,11584,5,4978,3865,2499,188,54,0
78,Jackson,107125,401,59739,25922,18238,2879,347,0
79,Jasper,24861,26,10919,6985,6199,678,80,0
80,Jeff Davis,18147,5,7453,5860,4541,219,74,0
81,Jefferson,20463,13,9965,5951,4201,251,95,0
82,Jenkins,9221,2,4179,2959,1917,116,50,0
83,Johnson,10259,3,4499,3252,2319,142,47,0
84,Jones,36654,53,18258,9816,7582,839,159,0
85,Lamar,26262,38,12662,7064,5734,756,45,1
86,Lanier,10172,6,4865,2978,2032,242,55,0
87,Laurens,58621,57,30039,16674,10679,1001,228,0
88,Lee,39460,85,20188,9662,8622,853,135,0
89,Liberty,59604,118,39574,11723,6248,1812,247,0
90,Lincoln,13076,11,5735,3687,3387,217,50,0
91,Long,20303,31,10725,5246,3601,634,97,0
92,Lowndes,110047,199,64177,25949,17034,2421,465,1
93,Lumpkin,41600,117,21260,11036,7454,1722,128,0
94,Macon,12628,13,6424,3579,2355,197,73,0
95,Madison,44585,53,20677,12617,10240,933,118,0
96,Marion,10115,11,4437,3073,2375,175,55,0
97,McDuffie,28032,24,14069,7611,5676,570,106,0
98,McIntosh,16337,34,8326,4440,3152,373,46,0
99,Meriwether,32396,26,15995,8581,6904,809,107,0
100,Miller,7566,3,3271,2396,1755,100,44,0
101,Mitchell,25084,12,11542,7060,6056,316,110,0
102,Monroe,44372,120,21550,11825,9788,976,233,0
103,Montgomery,10370,3,4491,3231,2436,176,36,0
104,Morgan,33905,83,15116,9847,8115,734,93,0
105,Murray,46846,41,23142,13475,8719,1371,139,0
106,Muscogee,171225,567,124424,33117,10198,2759,727,0
107,Newton,129189,367,82612,26616,16611,3018,332,0
108,Oconee,51892,394,30208,11964,8745,819,156,0
109,Oglethorpe,23448,30,10754,6611,5542,468,73,0
110,Paulding,170342,778,106939,35512,22619,4768,504,0
111,Peach,32900,37,17371,8381,6345,661,141,1
112,Pickens,48996,134,25477,12926,8632,1819,142,0
113,Pierce,25470,20,10456,7929,6590,418,77,0
114,Pike,32610,43,13869,9285,8378,956,122,0
115,Polk,50974,46,25810,14432,9048,1545,139,0
116,Pulaski,11131,8,5295,3134,2450,213,39,0
117,Putnam,33958,60,16278,9074,7889,623,94,0
118,Quitman,2932,0,1253,842,776,51,10,0
119,Rabun,26388,58,12514,7925,5034,808,107,0
120,Randolph,7883,2,3616,2317,1835,74,41,0
121,Richmond,170684,374,121194,32962,12903,2967,658,0
122,Rockdale,84811,376,55870,16824,9993,1775,349,0
123,Schley,6020,1,2526,1842,1501,118,33,0
124,Screven,18803,10,8874,5620,3910,328,71,0
125,Seminole,11773,5,4995,3447,3125,162,44,0
126,Spalding,76668,157,45656,17224,11749,1807,230,2
127,Stephens,33353,26,17348,8930,5980,965,130,0
128,Stewart,4523,6,2442,1203,794,58,26,0
129,Sumter,31239,27,16572,8128,5982,420,137,0
130,Talbot,9200,0,4500,2515,1988,174,23,0
131,Taliaferro,2521,3,1214,712,530,50,15,0
132,Tattnall,24592,27,10786,7934,5275,415,182,0
133,Taylor,10234,11,4665,3033,2318,171,47,0
134,Telfair,12582,5,5407,3764,3183,157,71,0
135,Terrell,12144,9,5616,3114,3189,161,64,0
136,Thomas,49866,64,27659,12666,8511,835,195,0
137,Tift,45718,57,23542,12847,8397,682,250,0
138,Toombs,31033,34,14739,9323,6273,525,173,0
139,Towns,20334,44,9756,5432,4355,742,49,0
140,Treutlen,8010,4,3564,2543,1709,154,40,0
141,Troup,77482,161,45095,18689,11917,1554,227,0
142,Turner,9859,1,4717,2910,2033,152,47,0
143,Twiggs,10952,6,5292,3138,2265,223,34,0
144,Union,41983,64,19575,11297,9143,1886,81,1
145,Upson,34080,18,17579,8768,6803,798,132,0
146,Walker,70944,89,39095,19479,9873,2281,216,0
147,Walton,130128,360,70890,32064,23763,3100,310,1
148,Ware,35987,23,17903,9682,7599,632,171,0
149,Warren,7267,1,3672,2079,1361,105,50,0
150,Washington,26139,11,11649,7769,6311,309,101,0
151,Wayne,34699,37,15961,10141,7783,714,100,0
152,Webster,3564,0,1454,1110,934,49,17,0
153,Wheeler,6747,3,2482,2168,1993,65,39,0
154,White,42852,62,20428,11862,8976,1448,138,0
155,Whitfield,113333,175,62949,28676,18895,2454,359,0
156,Wilcox,9232,2,3741,2960,2293,124,114,0
157,Wilkes,14079,5,6247,4275,3271,228,58,0
158,Wilkinson,13880,0,5962,4435,3206,217,59,1
159,Worth,26265,16,11465,7693,6530,506,71,0
