,county,total_vehicle,ev,passenger_vehicle,truck,trailer,motorcycle,bus,other
0, ,10876317,150410,6917707,2306800,1381119,231025,39632,34
1,Appling,25263,33,10153,8336,6114,554,106,0
2,Atkinson,10115,6,3978,3461,2485,138,53,0
3,Bacon,14837,17,5605,4938,3976,235,83,0
4,Baker,4147,4,1768,1339,974,46,20,0
5,Baldwin,44285,144,25023,10675,7627,824,136,0
6,Banks,30904,71,13355,9077,7462,926,84,0
7,Barrow,113343,726,66135,26800,17009,3061,337,1
8,Bartow,140454,851,77182,36169,22738,3999,366,0
9,Ben Hill,17622,34,8945,5017,3276,313,71,0
10,Berrien,23894,33,10060,7223,5911,610,90,0
11,Bibb,134191,755,90434,28110,13105,1993,549,0
12,Bleckley,16112,25,7427,4491,3750,367,77,0
13,Brantley,24176,25,9633,7530,6373,554,86,0
14,Brooks,20047,22,9125,6060,4418,362,82,0
15,Bryan,54477,550,31520,12819,8314,1656,167,1
16,Bulloch,78136,281,40858,21730,13496,1722,330,0
17,Burke,29111,50,14781,8636,4911,610,173,0
18,Butts,34747,106,16644,9447,7514,1042,99,1
19,Calhoun,5825,8,2678,1778,1214,94,61,0
20,Camden,59260,346,35541,13083,8451,2020,165,0
21,Candler,14169,31,6438,4322,3036,315,58,0
22,Carroll,143755,674,79465,37542,22454,3921,373,0
23,Catoosa,69921,309,42959,16946,7837,1983,196,0
24,Charlton,12165,20,5550,3456,2890,215,54,0
25,Chatham,264129,2925,185842,51839,20094,5117,1237,0
26,Chattahoochee,5889,29,3619,1422,609,211,28,0
27,Chattooga,29253,64,13935,8731,5724,779,84,0
28,Cherokee,295858,5047,195393,57154,34204,8475,631,1
29,Clarke,91844,1035,66185,16504,7316,1309,528,2
30,Clay,3662,3,1779,944,856,63,20,0
31,Clayton,215621,2093,159745,38962,12954,3095,864,1
32,Clinch,8255,10,3315,2577,2217,112,34,0
33,Cobb,679299,17396,511567,108914,44131,12536,2151,0
34,Coffee,48321,85,22011,14663,10665,819,163,0
35,Colquitt,52767,87,25782,15006,10897,746,336,0
36,Columbia,164660,1656,105813,34718,19929,3724,475,1
37,Cook,20643,32,9792,5931,4481,367,72,0
38,Coweta,164883,1951,100080,35574,24016,4718,495,0
39,Crawford,17707,24,7777,4940,4416,505,69,0
40,Crisp,21796,35,11004,6123,4243,319,107,0
41,Dade,17680,76,9194,5302,2632,487,65,0
42,Dawson,45215,461,24844,11041,7676,1546,108,0
43,Decatur,32249,48,16084,9140,6458,432,135,0
44,DeKalb,537470,15118,443848,63659,21351,6723,1887,2
45,Dodge,22394,51,10209,6697,5035,361,92,0
46,Dooly,11891,15,5678,3461,2475,214,63,0
47,Dougherty,74351,225,48593,15607,8845,1003,303,0
48,Douglas,133869,1613,90681,25834,13668,3194,490,2
49,Early,15266,14,6004,3634,5403,192,31,2
50,Echols,5664,6,1893,1799,1776,81,115,0
51,Effingham,87394,369,45022,22298,16920,2876,278,0
52,Elbert,27071,42,12851,7970,5566,564,120,0
53,Emanuel,27602,40,12881,8628,5441,541,111,0
54,Evans,12454,27,5913,3807,2390,293,51,0
55,Fannin,39606,140,18714,11263,7653,1858,118,0
56,Fayette,134371,3020,88278,26003,16661,3020,409,0
57,Floyd,105763,399,59814,26574,16185,2556,633,1
58,Forsyth,267749,12194,182872,46142,32037,5980,717,1
59,Franklin,34957,78,15889,10488,7661,822,97,0
60,Fulton,813954,34214,678209,92440,28172,10875,4254,4
61,Gilmer,45773,184,22667,12851,8227,1916,112,0
62,Glascock,4636,3,1704,1551,1257,104,20,0
63,Glynn,95014,717,59137,20650,12949,1948,330,0
64,Gordon,75514,259,37784,20340,15118,2074,198,0
65,Grady,30884,41,14828,8911,6491,565,89,0
66,Greene,28732,321,16610,6612,4955,466,89,0
67,Gwinnett,852518,22196,649913,134310,51961,13065,3267,2
68,Habersham,60845,182,31409,16167,11342,1680,247,0
69,Hall,256208,2084,156032,59750,33837,5873,714,2
70,Hancock,10859,17,5872,2782,1950,181,74,0
71,Haralson,41485,120,19637,12501,8010,1241,96,0
72,Harris,51157,285,25850,13404,10411,1347,145,0
73,Hart,39847,104,19514,10926,8342,993,72,0
