,county,total_vehicle,ev,passenger_vehicle,truck,trailer,motorcycle,bus,other
74,Heard,18035,22,7641,5510,4324,500,60,0
75,Henry,236140,2998,162959,41871,25220,5358,732,0
76,Houston,172535,1154,111225,35079,21865,3854,512,0
77,Irwin,11905,13,5021,3926,2630,277,51,0
78,Jackson,114026,995,64191,27574,18784,3117,359,1
79,Jasper,25710,54,11089,7328,6432,777,84,0
80,Jeff Davis,18692,23,7696,6047,4621,257,71,0
81,Jefferson,20586,26,9875,5985,4305,316,105,0
82,Jenkins,9443,7,4303,2968,1977,140,55,0
83,Johnson,10695,6,4668,3344,2436,203,44,0
84,Jones,37421,121,18569,10005,7794,893,160,0
85,Lamar,27135,72,12974,7308,5974,830,48,1
86,Lanier,10404,7,4997,3034,2043,264,66,0
87,Laurens,59702,101,30414,17116,10849,1095,228,0
88,Lee,40786,174,20658,10161,8873,960,134,0
89,Liberty,62667,283,41511,12473,6448,1989,246,0
90,Lincoln,13206,28,5698,3787,3391,276,54,0
91,Long,22139,71,11679,5575,4001,775,109,0
92,Lowndes,114205,412,66136,27489,17569,2531,479,1
93,Lumpkin,42881,225,21521,11518,7836,1888,118,0
94,Macon,12585,15,6446,3576,2295,200,68,0
95,Madison,45918,98,21062,13079,10705,952,120,0
96,Marion,10395,20,4581,3152,2388,217,57,0
97,McDuffie,28428,45,14115,7662,5834,704,113,0
98,McIntosh,17021,54,8559,4616,3288,507,51,0
99,Meriwether,32981,68,15920,8869,7134,942,116,0
100,Miller,7597,5,3211,2394,1837,112,43,0
101,Mitchell,25577,28,11826,7213,6084,325,129,0
102,Monroe,46147,247,22654,12175,9976,1108,234,0
103,Montgomery,10706,10,4612,3313,2545,204,32,0
104,Morgan,34512,129,15378,10160,8107,768,99,0
105,Murray,48397,91,23845,13953,8926,1524,149,0
106,Muscogee,170892,1059,124156,33055,10088,2862,731,0
107,Newton,132189,885,85000,27146,16699,2965,379,0
108,Oconee,53486,713,30939,12545,8957,887,158,0
109,Oglethorpe,24001,53,10858,6727,5826,507,83,0
110,Paulding,177573,1906,111526,37290,23216,5035,506,0
111,Peach,33538,112,17577,8542,6545,734,139,1
112,Pickens,50577,274,25920,13556,8904,2053,143,1
113,Pierce,26548,49,10827,8230,6914,514,63,0
114,Pike,33552,105,14068,9616,8642,1101,125,0
115,Polk,52047,119,26149,14821,9347,1583,147,0
116,Pulaski,11510,24,5413,3259,2575,221,42,0
117,Putnam,34946,132,16770,9437,7970,674,95,0
118,Quitman,2887,2,1271,831,712,62,11,0
119,Rabun,26829,96,12699,8066,5053,900,111,0
120,Randolph,7662,10,3605,2257,1674,84,42,0
121,Richmond,173952,762,124522,33353,12488,2955,634,0
122,Rockdale,85845,841,56728,16968,9999,1768,382,0
123,Schley,6326,4,2590,1951,1589,166,30,0
124,Screven,19171,21,8937,5732,4059,368,75,0
125,Seminole,11767,11,5074,3435,3031,187,40,0
126,Spalding,77832,345,46680,17251,11784,1880,235,2
127,Stephens,33817,85,17681,9062,5957,987,130,0
128,Stewart,4630,5,2491,1225,804,86,24,0
129,Sumter,31555,48,16861,8156,5982,417,139,0
130,Talbot,9027,10,4361,2442,2016,180,28,0
131,Taliaferro,2532,6,1186,739,537,52,18,0
132,Tattnall,25464,62,11128,8247,5389,509,191,0
133,Taylor,10452,26,4644,3111,2443,206,48,0
134,Telfair,12737,8,5441,3832,3227,171,66,0
135,Terrell,11871,17,5406,3080,3133,188,64,0
136,Thomas,50927,159,28266,12896,8718,851,196,0
137,Tift,46864,98,24109,13264,8449,794,248,0
138,Toombs,32195,55,15251,9705,6478,593,168,0
139,Towns,20781,90,9883,5634,4412,796,56,0
140,Treutlen,8051,15,3592,2516,1747,160,36,0
141,Troup,79725,361,46354,19256,12250,1598,267,0
142,Turner,10066,9,4854,2957,2057,150,48,0
143,Twiggs,11098,14,5286,3106,2422,244,40,0
144,Union,43244,144,19958,11718,9396,2081,90,1
145,Upson,34396,51,17450,8898,7048,859,141,0
146,Walker,72605,225,39983,20027,9971,2388,236,0
147,Walton,133841,764,72458,33382,24446,3245,309,1
148,Ware,36747,67,18342,9968,7553,707,177,0
149,Warren,7282,4,3656,2081,1386,109,50,0
150,Washington,26651,29,11755,7795,6627,371,103,0
151,Wayne,36796,69,16815,10630,8385,862,104,0
152,Webster,3579,1,1453,1101,954,53,18,0
153,Wheeler,6871,9,2565,2196,2005,65,40,0
154,White,43717,137,20603,12106,9314,1547,147,0
155,Whitfield,116918,396,64703,30265,18933,2633,384,0
156,Wilcox,9519,7,3827,3014,2418,139,121,0
157,Wilkes,14323,17,6293,4448,3270,246,66,0
158,Wilkinson,13924,8,5998,4340,3248,274,63,1
159,Worth,26420,33,11387,7746,6639,569,79,0
