,county,total_vehicle,ev,passenger_vehicle,truck,trailer,motorcycle,bus,other
0, ,11020212,162200,6997880,2335442,1407656,238984,40216,34
1,Appling,25777,33,10333,8422,6293,616,113,0
2,Atkinson,10211,7,3986,3492,2543,138,52,0
3,Bacon,15071,18,5681,4993,4050,251,96,0
4,Baker,4163,3,1772,1362,965,44,20,0
5,Baldwin,44758,159,25342,10733,7700,841,142,0
6,Banks,31433,84,13576,9192,7594,984,87,0
7,Barrow,115369,823,67326,27201,17284,3217,340,1
8,Bartow,143474,969,78501,36846,23576,4188,363,0
9,Ben Hill,17824,34,9020,5054,3337,342,71,0
10,Berrien,24219,38,10201,7307,6007,611,93,0
11,Bibb,136812,860,92402,28585,13261,2030,534,0
12,Bleckley,16380,32,7549,4549,3825,388,69,0
13,Brantley,24544,26,9750,7632,6527,546,89,0
14,Brooks,20265,28,9222,6131,4465,361,86,0
15,Bryan,55411,621,31967,13100,8457,1720,167,0
16,Bulloch,79282,326,41434,21988,13731,1801,328,0
17,Burke,29725,52,15022,8757,5128,637,181,0
18,Butts,35198,134,16915,9514,7618,1049,101,1
19,Calhoun,5658,9,2560,1742,1198,96,62,0
20,Camden,60098,376,35999,13245,8620,2068,166,0
21,Candler,14412,27,6512,4389,3118,335,58,0
22,Carroll,146130,720,80741,38008,22947,4050,384,0
23,Catoosa,70860,357,43472,17167,7938,2086,197,0
24,Charlton,12508,24,5683,3531,3016,225,53,0
25,Chatham,267945,3189,188083,52561,20644,5355,1302,0
26,Chattahoochee,5948,33,3645,1427,632,216,28,0
27,Chattooga,29745,66,14171,8802,5863,824,85,0
28,Cherokee,298436,5477,196387,57964,34789,8651,644,1
29,Clarke,92718,1110,66786,16617,7459,1330,524,2
30,Clay,3490,4,1685,910,825,51,19,0
31,Clayton,218250,2303,161584,39224,13359,3212,870,1
32,Clinch,8316,10,3349,2601,2217,115,34,0
33,Cobb,687159,18654,516573,110615,45008,12814,2149,0
34,Coffee,48997,86,22385,14816,10787,836,173,0
35,Colquitt,53490,101,26127,15174,11079,780,330,0
36,Columbia,166194,1820,106772,35119,19999,3831,472,1
37,Cook,21085,40,9999,6007,4591,401,87,0
38,Coweta,166503,2178,100815,35934,24412,4843,499,0
39,Crawford,17925,39,7784,5067,4459,543,72,0
40,Crisp,22162,40,11245,6154,4325,329,109,0
41,Dade,17989,84,9367,5360,2670,527,65,0
42,Dawson,45980,533,25287,11130,7835,1613,115,0
43,Decatur,32791,54,16254,9268,6659,459,151,0
44,DeKalb,543322,16104,447727,64772,21996,6910,1915,2
45,Dodge,22721,51,10316,6756,5178,376,95,0
46,Dooly,12022,18,5714,3467,2551,227,63,0
47,Dougherty,75348,240,49059,15799,9167,1018,305,0
48,Douglas,136196,1774,92136,26323,13969,3283,483,2
49,Early,15468,14,6074,3678,5476,208,30,2
50,Echols,5726,8,1916,1797,1800,92,121,0
51,Effingham,88476,425,45560,22476,17213,2946,281,0
52,Elbert,27503,50,13020,8102,5639,620,122,0
53,Emanuel,27842,44,12990,8661,5521,559,111,0
54,Evans,12705,31,5994,3890,2477,294,50,0
55,Fannin,39997,163,18797,11369,7802,1900,129,0
56,Fayette,134810,3303,88589,26015,16719,3078,409,0
57,Floyd,107128,430,60575,26775,16460,2632,685,1
58,Forsyth,269518,12874,183356,46677,32565,6165,754,1
59,Franklin,35483,84,16077,10597,7851,862,96,0
60,Fulton,822253,36113,684280,93747,28806,11075,4341,4
61,Gilmer,46498,218,23047,13002,8344,1990,115,0
62,Glascock,4716,3,1701,1596,1283,116,20,0
63,Glynn,96105,759,59782,20946,13032,2005,340,0
64,Gordon,76804,291,38413,20630,15398,2171,192,0
65,Grady,31520,41,15074,9075,6664,618,89,0
66,Greene,29124,337,16774,6801,4977,484,88,0
67,Gwinnett,864208,23979,657935,136401,53066,13511,3293,2
68,Habersham,61623,197,31683,16364,11580,1755,241,0
69,Hall,260317,2329,158388,60655,34496,6064,712,2
70,Hancock,11038,21,5965,2806,1999,194,74,0
71,Haralson,42653,133,19906,12685,8663,1302,97,0
72,Harris,51830,319,26171,13512,10630,1374,143,0
73,Hart,40242,111,19690,11035,8414,1034,69,0
74,Heard,18380,24,7688,5629,4479,524,60,0
75,Henry,240041,3340,165841,42305,25594,5570,731,0
76,Houston,175110,1251,112948,35522,22123,3997,520,0
77,Irwin,12129,16,5089,3981,2697,310,52,0
78,Jackson,116433,1112,65547,28111,19197,3219,358,1
79,Jasper,26039,68,11204,7388,6571,795,81,0
80,Jeff Davis,18979,29,7823,6112,4704,268,72,0
81,Jefferson,20858,27,9978,6057,4379,340,104,0
82,Jenkins,9488,8,4323,2974,1980,155,56,0
83,Johnson,10932,5,4764,3433,2475,214,46,0
84,Jones,37965,137,18778,10139,7956,935,157,0
85,Lamar,27650,81,13203,7380,6141,876,49,1
86,Lanier,10545,8,5065,3089,2076,259,56,0
87,Laurens,60508,117,30798,17210,11123,1153,224,0
88,Lee,41120,189,20813,10226,8969,973,139,0
89,Liberty,64157,329,42473,12768,6609,2059,247,1
90,Lincoln,13417,28,5747,3840,3480,298,52,0
91,Long,22872,80,12032,5773,4124,832,111,0
92,Lowndes,115954,459,67204,27771,17892,2599,487,1
93,Lumpkin,43572,238,21752,11727,8027,1943,123,0
94,Macon,12813,21,6512,3617,2410,209,65,0
95,Madison,46492,109,21286,13194,10903,990,119,0
96,Marion,10522,19,4608,3193,2442,222,57,0
97,McDuffie,28737,46,14244,7752,5885,745,111,0
98,McIntosh,17275,58,8671,4696,3332,524,52,0
99,Meriwether,33646,84,16198,8978,7343,1004,123,0
100,Miller,7760,8,3269,2422,1904,123,42,0
101,Mitchell,26009,28,12002,7302,6261,312,132,0
102,Monroe,46838,284,22868,12342,10243,1148,237,0
103,Montgomery,10855,12,4654,3373,2573,227,28,0
104,Morgan,35132,155,15612,10304,8308,809,99,0
105,Murray,49049,97,24127,14063,9077,1634,148,0
106,Muscogee,172078,1140,125015,33216,10195,2919,733,0
107,Newton,134198,1007,86398,27424,16917,3078,381,0
108,Oconee,53945,756,31140,12656,9098,895,156,0
109,Oglethorpe,24408,57,11012,6821,5970,522,83,0
110,Paulding,179412,2081,112670,37599,23448,5199,496,0
111,Peach,34051,120,17845,8661,6659,744,141,1
112,Pickens,50990,300,25947,13716,9074,2116,136,1
113,Pierce,27101,54,10980,8453,7044,550,74,0
114,Pike,33930,123,14138,9715,8814,1140,123,0
115,Polk,52964,138,26489,15040,9615,1673,147,0
116,Pulaski,11702,28,5465,3325,2646,225,41,0
117,Putnam,35379,151,16943,9543,8087,710,96,0
118,Quitman,2925,2,1282,826,748,58,11,0
119,Rabun,27103,102,12775,8155,5118,944,111,0
120,Randolph,7725,10,3634,2264,1699,86,42,0
121,Richmond,178009,844,127924,33784,12627,3049,625,0
122,Rockdale,86932,935,57363,17258,10104,1810,397,0
123,Schley,6462,4,2679,1959,1617,176,31,0
124,Screven,19405,21,8986,5819,4139,387,74,0
125,Seminole,11981,12,5151,3450,3142,198,40,0
126,Spalding,78681,404,47119,17449,11939,1932,240,2
127,Stephens,34104,97,17804,9161,5995,1012,132,0
128,Stewart,4411,4,2344,1181,783,82,21,0
129,Sumter,31891,50,17040,8204,6066,442,139,0
130,Talbot,8997,12,4331,2447,2013,178,28,0
131,Taliaferro,2594,9,1234,743,544,55,18,0
132,Tattnall,25704,64,11178,8313,5458,542,213,0
133,Taylor,10647,24,4685,3208,2492,214,48,0
134,Telfair,12916,11,5499,3852,3310,185,70,0
135,Terrell,11984,20,5463,3073,3193,193,62,0
136,Thomas,51448,165,28599,12993,8770,888,198,0
137,Tift,47483,116,24447,13336,8614,818,268,0
138,Toombs,32779,60,15439,9814,6725,619,182,0
139,Towns,20968,94,9941,5638,4478,855,56,0
140,Treutlen,8155,16,3644,2549,1763,162,37,0
141,Troup,81346,391,47342,19511,12560,1669,264,0
142,Turner,9601,10,4598,2888,1919,148,48,0
143,Twiggs,11198,15,5347,3129,2442,241,39,0
144,Union,43839,165,20106,11901,9571,2170,90,1
145,Upson,35015,57,17740,9032,7188,914,141,0
146,Walker,73292,266,40422,20065,10107,2462,236,0
147,Walton,135589,866,73242,33775,24889,3369,313,1
148,Ware,37270,77,18571,9975,7810,732,182,0
149,Warren,7386,4,3686,2124,1412,112,52,0
150,Washington,26972,29,11934,7797,6728,409,104,0
151,Wayne,37519,76,17168,10760,8569,916,106,0
152,Webster,3622,1,1470,1103,982,50,17,0
153,Wheeler,7047,10,2617,2220,2094,76,40,0
154,White,44020,146,20719,12225,9382,1552,142,0
155,Whitfield,118735,468,65394,30746,19470,2736,389,0
156,Wilcox,9803,6,3846,3122,2469,141,225,0
157,Wilkes,14563,19,6369,4517,3343,273,61,0
158,Wilkinson,14076,15,6060,4363,3305,286,61,1
159,Worth,26679,36,11552,7774,6689,589,75,0
