,county,total_vehicle,ev,passenger_vehicle,truck,trailer,motorcycle,bus,other
0, ,10457215,50185,6658196,2200235,1346601,214218,37922,43
1,Appling,23973,5,9768,7964,5845,304,92,0
2,Atkinson,9919,2,3953,3398,2405,112,51,0
3,Bacon,14069,5,5535,4630,3644,182,78,0
4,Baker,4229,1,1853,1318,994,45,19,0
5,Baldwin,44191,47,25137,10595,7608,732,119,0
6,Banks,29752,19,12891,8798,7113,871,79,0
7,Barrow,108121,224,61768,26996,16201,2862,292,2
8,Bartow,134249,253,73218,34182,22851,3644,354,0
9,Ben Hill,17500,4,8986,4936,3255,258,65,0
10,Berrien,22565,14,9702,6899,5380,503,81,0
11,Bibb,133492,245,90902,27070,13078,1909,533,0
12,Bleckley,15701,10,7270,4402,3620,339,70,0
13,Brantley,22583,3,9088,6986,5982,448,79,0
14,Brooks,19576,6,9076,5881,4262,291,66,0
15,Bryan,49962,174,28682,11648,8049,1448,135,0
16,Bulloch,73480,68,38617,20345,12727,1484,307,0
17,Burke,28951,19,14942,8527,4775,551,156,0
18,Butts,34382,24,16503,9343,7461,988,86,1
19,Calhoun,5751,1,2703,1753,1176,67,52,0
20,Camden,55343,95,33372,12087,7914,1807,163,0
21,Candler,13603,11,6295,4177,2826,257,48,0
22,Carroll,138239,192,77115,35618,21521,3600,385,0
23,Catoosa,66965,77,40987,16238,7707,1826,206,1
24,Charlton,11560,4,5219,3327,2770,199,45,0
25,Chatham,256482,952,180391,49206,20773,4871,1239,2
26,Chattahoochee,5633,9,3436,1405,576,194,22,0
27,Chattooga,28364,21,13812,8439,5357,679,75,2
28,Cherokee,279955,1558,184818,53618,33243,7676,600,0
29,Clarke,88381,405,63784,15663,7105,1289,538,2
30,Clay,4164,1,1764,1050,1292,41,17,0
31,Clayton,213800,391,159422,36484,13992,3149,752,1
32,Clinch,8054,3,3305,2486,2142,84,37,0
33,Cobb,653957,6301,493148,101227,45173,12422,1987,0
34,Coffee,46135,22,21350,13941,10078,610,156,0
35,Colquitt,52224,24,24977,15698,10468,720,360,1
36,Columbia,158227,524,102160,32889,19111,3580,486,1
37,Cook,20101,10,9556,5797,4367,284,97,0
38,Coweta,157521,635,95463,33789,23295,4450,524,0
39,Crawford,17018,5,7521,4798,4200,433,66,0
40,Crisp,21820,11,11143,6131,4147,294,105,0
41,Dade,17260,19,9130,5108,2527,441,54,0
42,Dawson,42047,145,22972,10320,7298,1355,102,0
43,Decatur,32102,14,15814,8938,6823,409,118,0
44,DeKalb,520691,5901,427589,61163,23061,6933,1943,2
45,Dodge,21713,16,10034,6490,4751,345,93,0
46,Dooly,11832,7,5717,3411,2430,216,58,0
47,Dougherty,75912,57,49194,15747,9676,983,312,0
48,Douglas,130805,428,88151,25236,13806,3117,494,1
49,Early,15673,2,6110,3690,5659,168,44,2
50,Echols,5261,1,1793,1741,1568,65,94,0
51,Effingham,82289,94,42720,20754,16082,2514,219,0
52,Elbert,26630,17,12649,7871,5449,552,109,0
53,Emanuel,27094,13,12889,8207,5443,451,104,0
54,Evans,12038,4,5629,3776,2345,235,53,0
55,Fannin,38458,53,18524,10851,7491,1476,116,0
56,Fayette,129502,1103,85958,24020,16136,2992,396,0
57,Floyd,105253,150,59299,26505,16284,2575,589,1
58,Forsyth,244689,3322,169624,42790,26194,5437,644,0
59,Franklin,33516,25,15438,9902,7285,806,85,0
60,Fulton,785336,13732,652600,87790,29947,10714,4278,7
61,Gilmer,43866,52,22135,12219,7868,1543,101,0
62,Glascock,4350,1,1651,1452,1180,50,17,0
63,Glynn,90760,273,57038,19425,12207,1775,315,0
64,Gordon,72432,89,36714,19508,14078,1956,176,0
65,Grady,30445,11,14448,8565,6861,486,85,0
66,Greene,27263,123,15843,6241,4720,374,85,0
67,Gwinnett,791177,6140,601842,122621,51121,12541,3050,2
68,Habersham,58357,77,29985,15620,11022,1493,237,0
69,Hall,238969,676,144263,54953,33698,5370,683,2
70,Hancock,10660,4,5748,2716,1943,181,72,0
71,Haralson,41104,19,19349,12168,8309,1186,91,1
72,Harris,48963,101,24998,12765,9852,1207,141,0
73,Hart,37972,32,18951,10151,7868,932,68,2
74,Heard,17467,5,7389,5308,4254,462,54,0
75,Henry,226911,768,155246,40347,25211,5450,657,0
76,Houston,165787,328,106867,33605,21070,3748,497,0
77,Irwin,11519,4,4977,3839,2487,168,48,0
78,Jackson,104111,242,58002,25231,17800,2751,327,0
79,Jasper,24514,18,10829,6874,6088,642,81,0
80,Jeff Davis,17928,3,7438,5760,4444,214,72,0
81,Jefferson,20468,9,10082,5921,4119,245,101,0
82,Jenkins,9205,2,4210,2938,1888,118,51,0
83,Johnson,10319,1,4552,3336,2250,144,37,0
84,Jones,36464,31,18227,9760,7542,795,140,0
85,Lamar,26006,32,12580,7039,5643,702,41,1
86,Lanier,10079,3,4789,2972,2029,233,56,0
87,Laurens,58489,29,30089,16683,10536,966,215,0
88,Lee,39480,63,20338,9661,8530,818,133,0
89,Liberty,61406,75,41229,11815,6353,1767,242,0
90,Lincoln,12909,5,5694,3682,3284,203,46,0
91,Long,19613,10,10365,5073,3457,637,81,0
92,Lowndes,109124,117,63848,25568,16866,2390,451,1
93,Lumpkin,41134,90,21126,10925,7258,1701,123,1
94,Macon,12606,5,6439,3569,2339,184,75,0
95,Madison,44285,33,20625,12536,10127,880,117,0
96,Marion,10063,5,4432,3064,2341,167,59,0
97,McDuffie,27934,16,14194,7495,5599,549,97,0
98,McIntosh,16441,22,8385,4497,3145,366,48,0
99,Meriwether,32320,14,15999,8572,6842,796,111,0
100,Miller,7420,0,3177,2384,1729,95,35,0
101,Mitchell,25320,9,11770,7113,6025,298,114,0
102,Monroe,43714,73,21331,11648,9626,892,217,0
103,Montgomery,10317,3,4492,3229,2388,173,35,0
104,Morgan,33402,56,15025,9698,7873,711,95,0
105,Murray,46474,27,23065,13362,8629,1284,134,0
106,Muscogee,170919,378,124437,32622,10280,2847,733,0
107,Newton,128929,225,82452,26456,16652,3056,313,0
108,Oconee,51204,259,29780,11854,8623,795,152,0
109,Oglethorpe,23179,18,10726,6542,5396,438,77,0
110,Paulding,167872,457,105425,34925,22385,4659,478,0
111,Peach,32500,26,17225,8257,6229,656,132,1
112,Pickens,48075,98,25110,12701,8383,1744,137,0
113,Pierce,25258,14,10401,7922,6453,404,78,0
114,Pike,32220,26,13794,9220,8208,894,104,0
115,Polk,50593,35,25855,14274,8867,1471,126,0
116,Pulaski,11086,8,5282,3142,2403,217,42,0
117,Putnam,33792,43,16290,8962,7845,600,95,0
118,Quitman,2884,0,1247,839,736,52,10,0
119,Rabun,26032,37,12404,7779,4981,758,110,0
120,Randolph,7960,2,3670,2289,1882,82,37,0
121,Richmond,171186,213,122008,32739,12859,2934,646,0
122,Rockdale,84704,226,55725,16896,9913,1819,351,0
123,Schley,5945,1,2493,1849,1457,117,29,0
124,Screven,18562,5,8869,5548,3777,300,68,0
125,Seminole,11719,5,5011,3410,3082,175,41,0
126,Spalding,77161,88,46224,17234,11703,1766,232,2
127,Stephens,33501,22,17428,8938,6062,944,129,0
128,Stewart,4548,3,2438,1213,811,60,26,0
129,Sumter,31141,14,16717,8032,5846,409,137,0
130,Talbot,9281,2,4595,2516,1989,158,23,0
131,Taliaferro,2487,2,1213,699,515,47,13,0
132,Tattnall,24370,16,10745,7858,5169,423,175,0
133,Taylor,10117,5,4642,3004,2262,165,44,0
134,Telfair,12572,4,5429,3788,3128,161,66,0
135,Terrell,12175,7,5687,3102,3163,161,62,0
136,Thomas,49548,40,27572,12516,8444,827,189,0
137,Tift,45417,35,23538,12674,8281,695,229,0
138,Toombs,30836,27,14727,9214,6228,504,163,0
139,Towns,20086,30,9690,5327,4339,681,49,0
140,Treutlen,7969,3,3534,2589,1661,149,36,0
141,Troup,77195,95,45002,18663,11834,1467,229,0
142,Turner,9944,0,4785,2939,2017,156,47,0
143,Twiggs,10954,1,5289,3154,2259,217,35,0
144,Union,41349,37,19395,11104,8984,1778,87,1
145,Upson,33999,13,17742,8647,6712,765,133,0
146,Walker,70437,47,38867,19476,9715,2164,215,0
147,Walton,128081,225,69884,31434,23389,3056,317,1
148,Ware,36028,15,18077,9671,7527,568,185,0
149,Warren,7277,0,3680,2131,1320,98,48,0
150,Washington,26194,4,11757,7777,6254,305,101,0
151,Wayne,34163,21,15845,9903,7628,684,102,1
152,Webster,3520,0,1467,1081,905,50,17,0
153,Wheeler,6836,1,2517,2174,2029,71,45,0
154,White,42373,45,20349,11718,8807,1374,125,0
155,Whitfield,112122,115,62372,28192,18844,2350,364,0
156,Wilcox,9155,1,3809,2911,2223,116,96,0
157,Wilkes,13905,4,6284,4213,3124,216,68,0
158,Wilkinson,13841,0,5948,4442,3184,204,62,1
159,Worth,26374,13,11502,7718,6597,481,76,0
