county,total_vehicle,ev,light_duty_evs,medium_duty_evs,heavy_duty_evs
Barrow,108121,224,217,7,0
Bartow,134249,253,245,8,0
Butts,34382,24,23,1,0
Carroll,138239,192,186,6,0
Cherokee,279955,1558,1510,48,0
Clayton,213800,391,379,12,0
Barrow,108121,224,217,7,0
Bartow,134249,253,245,8,0
Butts,34382,24,23,1,0
Carroll,138239,192,186,6,0
Cherokee,279955,1558,1510,48,0
Clayton,213800,391,379,12,0
Cobb,653957,6301,6106,195,0
Coweta,157521,635,615,20,0
Dawson,42047,145,141,4,0
DeKalb,520691,5901,5719,182,0
Douglas,130805,428,415,13,0
Fayette,129502,1103,1069,34,0
Forsyth,244689,3322,3219,103,0
Fulton,785336,13732,13307,425,0
Gwinnett,791177,6140,5950,190,0
Haralson,41104,19,18,1,0
Heard,17467,5,5,0,0
Henry,226911,768,744,24,0
Jasper,24514,18,17,1,0
Lamar,26006,32,31,1,0
Meriwether,32320,14,14,0,0
Morgan,33402,56,54,2,0
Newton,128929,225,218,7,0
Paulding,167872,457,443,14,0
Pickens,48075,98,95,3,0
Pike,32220,26,25,1,0
Rockdale,84704,226,219,7,0
Spalding,77161,88,85,3,0
Walton,128081,225,218,7,0
